Is_Press,Conductance,Weight_g,Force_N,Exp_ID
1.0,0.0167728947203472,2897.23,28.421826300000003,2
1.0,0.0168804858730505,2898.28,28.4321268,2
1.0,0.0171969042614461,2898.02,28.4295762,2
1.0,0.0171673816795299,2897.66,28.4260446,2
1.0,0.0170357748375506,2897.18,28.4213358,2
1.0,0.0166389348312989,2951.64,28.9555884,2
1.0,0.0177116539548059,3222.7,31.614687,2
1.0,0.0242013546901898,4797.91,47.0674971,2
1.0,0.0263088653957152,4967.79,48.7340199,2
1.0,0.0265886725182485,4967.79,48.7340199,2
1.0,0.0265111339737239,4967.79,48.7340199,2
1.0,0.0265886725182485,4967.79,48.7340199,2
1.0,0.0268744953809595,4967.79,48.7340199,2
1.0,0.0280583606044231,4967.79,48.7340199,2
1.0,0.0290444371465455,4967.79,48.7340199,2
1.0,0.0271812985272819,4967.79,48.7340199,2
1.0,0.0284900276783467,4967.79,48.7340199,2
1.0,0.0274423702677725,4967.79,48.7340199,2
1.0,0.0272925756743292,4967.79,48.7340199,2
1.0,0.0266028191911992,4967.79,48.7340199,2
1.0,0.0280583606044231,4967.79,48.7340199,2
1.0,0.03082613961695,4967.79,48.7340199,2
1.0,0.031496062000124,4967.79,48.7340199,2
1.0,0.0342348499063728,4967.79,48.7340199,2
1.0,0.0341763487978007,4967.79,48.7340199,2
1.0,0.0327761378965539,4967.79,48.7340199,2
1.0,0.0354735709303451,4967.79,48.7340199,2
1.0,0.0338868168794707,4967.79,48.7340199,2
1.0,0.0423908417808036,4967.79,48.7340199,2
1.0,0.0358937531983577,4967.79,48.7340199,2
1.0,0.0387446711063668,4967.79,48.7340199,2
1.0,0.0364564332316283,4967.79,48.7340199,2
1.0,0.0316756404283927,4967.79,48.7340199,2
1.0,0.0313971732685345,4967.79,48.7340199,2
1.0,0.032102727701357,4967.79,48.7340199,2
1.0,0.0316957200730358,4967.79,48.7340199,2
1.0,0.0307408536507576,4967.79,48.7340199,2
1.0,0.0296120808524702,4960.33,48.6608373,2
1.0,0.0233699457029692,3641.0,35.71821,2
1.0,0.0232774668697051,2872.16,28.1758896,2
1.0,0.0234411621321809,2878.11,28.2342591,2
1.0,0.0232774668697051,2880.19,28.254663900000004,2
1.0,0.0230946876883443,2880.95,28.2621195,2
1.0,0.0237529685569366,2884.51,28.297043100000003,2
1.0,0.0244319564028351,2991.39,29.3455359,2
1.0,0.0232828865359048,3069.38,30.110617800000004,2
1.0,0.0227272722107438,2880.04,28.253192400000003,2
1.0,0.0228780594171114,2880.83,28.2609423,2
1.0,0.0231320836656931,2881.48,28.2673188,2
1.0,0.0228832946708628,2881.81,28.2705561,2
1.0,0.0229779406484848,2881.87,28.2711447,2
1.0,0.0222717144260197,2882.19,28.2742839,2
1.0,0.0225835586589078,2882.34,28.2757554,2
1.0,0.0223264116470995,2882.44,28.2767364,2
1.0,0.0227842327914278,2882.68,28.2790908,2
1.0,0.0226193163849962,2882.84,28.28066040000001,2
1.0,0.0223563598847225,2882.93,28.281543300000003,2
1.0,0.0227272722107438,2882.93,28.281543300000003,2
1.0,0.0224466886095019,2883.06,28.2828186,2
1.0,0.0228154227055573,2883.04,28.2826224,2
1.0,0.022660321263079,2883.19,28.2840939,2
1.0,0.0227946199499744,2883.46,28.2867426,2
1.0,0.0227117869018444,2883.27,28.2848787,2
1.0,0.0230893552738546,2883.1,28.283211,2
1.0,0.0229463051182582,2882.12,28.2735972,2
1.0,0.0228780594171114,2881.24,28.2649644,2
1.0,0.0230361662511825,2906.93,28.516983300000003,2
1.0,0.0229095069207444,2902.46,28.473132600000003,2
1.0,0.0220945642489049,2690.55,26.3942955,2
1.0,0.0224820138830482,2615.54,25.6584474,2
1.0,0.0229937911475329,2878.56,28.2386736,2
1.0,0.0230786978287861,2876.83,28.2217023,2
1.0,0.023557125475686,2712.43,26.6089383,2
1.0,0.0159311770602011,2150.76,21.0989556,2
1.0,0.0160616765810845,1529.59,15.0052779,2
1.0,0.0161186328800994,1531.32,15.0222492,2
1.0,0.0158856232583697,1532.38,15.0326478,2
1.0,0.0158152773079981,1533.22,15.0408882,2
1.0,0.0117412232976256,1595.65,15.6533265,2
1.0,0.0089621795217585,678.96,6.6605976,2
1.0,0.0092208390113338,639.73,6.2757513000000005,2
1.0,0.0095638866721127,643.33,6.311067300000001,2
1.0,0.0089581652874839,646.11,6.3383391,2
1.0,0.0087881183866058,647.87,6.355604700000001,2
1.0,0.0083104794456039,702.01,6.8867181,2
1.0,0.0074410297831607,641.97,6.297725700000001,2
1.0,0.0077279752107575,602.9,5.914449,2
1.0,0.0078914140791397,644.25,6.3200925,2
1.0,0.0078839482191426,644.89,6.3263709,2
1.0,0.0079630513779021,645.69,6.3342189000000015,2
1.0,0.008043757979056,646.7,6.344127000000001,2
1.0,0.008110300015326,647.43,6.3512883,2
1.0,0.0081572721416324,648.01,6.3569781,2
1.0,0.0081083271863429,648.71,6.363845100000001,2
1.0,0.0082074851591637,650.48,6.3812088000000005,2
1.0,0.00827198272585,651.4,6.390234,2
1.0,0.0079751175693825,651.94,6.395531400000001,2
1.0,0.0094966760731559,920.96,9.0346176,2
1.0,0.017482517176879,1780.06,17.4623886,2
1.0,0.0179275722852712,2648.97,25.9863957,2
1.0,0.0181521143918657,2682.68,26.317090800000003,2
1.0,0.0187441421041397,2681.64,26.3068884,2
1.0,0.0183992636909059,2680.85,26.2991385,2
1.0,0.0185082358225386,2680.25,26.2932525,2
1.0,0.0189178959720413,2680.45,26.2952145,2
1.0,0.0187617257267968,2679.97,26.2905057,2
1.0,0.0194476853471862,2679.66,26.2874646,2
1.0,0.0195618149537986,2679.54,26.2862874,2
1.0,0.0198649181592189,2679.54,26.2862874,2
1.0,0.0199600794419145,2679.28,26.283736800000003,2
1.0,0.0201979394021826,2679.17,26.2826577,2
1.0,0.0201653555118903,2678.9,26.280009000000003,2
1.0,0.0201328765827888,2678.79,26.2789299,2
1.0,0.0207082207349716,2678.6,26.277066,2
1.0,0.0202265368077156,2678.86,26.279616600000004,2
1.0,0.019900497116408,2680.74,26.2980594,2
1.0,0.0204792131787996,2849.31,27.9517311,2
1.0,0.020842017072905,3101.44,30.425126400000003,2
1.0,0.0206953638101125,3092.71,30.3394851,2
1.0,0.019952114526095,3087.84,30.291710400000007,2
1.0,0.0207425840957771,3088.26,30.2958306,2
1.0,0.0206398344553181,3088.46,30.2977926,2
1.0,0.0208637592141923,3088.44,30.2975964,2
1.0,0.0211595425061459,3088.53,30.2984793,2
1.0,0.0209731539225429,3088.37,30.2969097,2
1.0,0.021500752064056,3088.17,30.2949477,2
1.0,0.0214868925335863,3096.77,30.3793137,2
